kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.811,0,0,0,0,2.470613377,2.7e-08,-2.7e-08,122.763305,8.7e-06,-8.7e-06,0.818,0.001,-0.001,1.74319,0.00107,-0.00107,14230.9,4.2,-4.2,13.04,0.51,-0.51,1339.0,,,761.46,106.21,-95.76,4304.3,1,q1_q17_dr25_tce,5820.0,78.0,-78.0,4.457,0.024,-0.024,0.964,0.038,-0.038,286.80847,49.316399,11.338
10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1.0,0,1,0,0,2.204735417,4.3e-08,-4.3e-08,121.3585417,1.6e-05,-1.6e-05,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,6674.7,1.7,-1.7,16.1,0.81,-0.91,2048.0,,,4148.92,651.59,-654.46,5945.9,1,q1_q17_dr25_tce,6440.0,76.0,-89.0,4.019,0.033,-0.027,1.952,0.099,-0.11,292.24728,47.969521,10.463
10748390,K00003.01,Kepler-3 b,CONFIRMED,CANDIDATE,0.913,0,0,0,0,4.887803076,4.66e-07,-4.66e-07,124.8130808,7.51e-05,-7.51e-05,0.054,0.145,-0.054,2.36255,0.00466,-0.00466,4315.8,6.1,-6.1,4.82,0.17,-0.18,800.0,,,96.67,14.91,-13.89,862.3,1,q1_q17_dr25_tce,4778.0,86.0,-95.0,4.591,0.015,-0.036,0.763,0.028,-0.028,297.70935,48.080853,9.174
3861595,K00004.01,Kepler-1658 b,CONFIRMED,CANDIDATE,1.0,0,1,0,0,3.849371737,2.344e-06,-2.344e-06,157.526686,0.000488,-0.000488,0.915,0.02,-0.056,2.632,0.106,-0.106,1298.6,13.0,-13.0,12.94,1.8,-4.2,2034.0,,,4055.29,1643.78,-2336.51,132.7,1,q1_q17_dr25_tce,6244.0,126.0,-114.0,3.657,0.27,-0.09,2.992,0.416,-0.971,294.35654,38.94738,11.432
8554498,K00005.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,4.780327581,8.52e-07,-8.52e-07,132.974086,0.000148,-0.000148,0.952,0.001,-0.002,2.0253,0.0139,-0.0139,960.8,3.9,-3.9,7.14,0.52,-0.31,1441.0,,,1020.05,223.43,-125.2,380.8,1,q1_q17_dr25_tce,5937.0,83.0,-65.0,4.012,0.03,-0.03,1.787,0.132,-0.076,289.73972,44.647419,11.665
3248033,K00006.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,1.334101467,1.655e-06,-1.655e-06,133.703081,0.000983,-0.000983,0.153,0.228,-0.153,2.1033,0.0318,-0.0318,120.8,3.3,-3.3,1.74,0.31,-0.37,2169.0,,,5207.55,2517.09,-2268.59,43.0,1,q1_q17_dr25_tce,6178.0,111.0,-136.0,4.106,0.168,-0.112,1.58,0.277,-0.339,294.59955,38.366772,12.161
11853905,K00007.01,Kepler-4 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.213668926,1.09e-06,-1.09e-06,123.611878,0.000274,-0.000274,0.021,0.188,-0.021,3.98235,0.00911,-0.00911,727.8,2.5,-2.5,4.13,0.26,-0.23,1515.0,,,1244.44,229.31,-193.94,346.9,1,q1_q17_dr25_tce,5795.0,69.0,-77.0,4.101,0.033,-0.027,1.545,0.097,-0.087,285.61533,50.13575,12.211
5903312,K00008.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,1.16015259,8.68e-07,-8.68e-07,121.704645,0.000673,-0.000673,0.748,0.025,-0.515,1.3433,0.0195,-0.0195,170.2,4.1,-4.1,1.4,0.2,-0.12,1751.0,,,2229.29,910.2,-505.19,48.4,1,q1_q17_dr25_tce,5842.0,105.0,-117.0,4.433,0.072,-0.117,0.985,0.143,-0.083,298.66101,41.13789,12.45
11553706,K00009.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,3.719809197,9.39e-07,-9.39e-07,135.068298,0.000206,-0.000206,1.279,0.169,-0.078,3.5317,0.0105,-0.0105,2958.2,10.1,-10.1,87.21,16.61,-28.45,1873.0,,,2912.21,1650.97,-1719.77,373.9,1,q1_q17_dr25_tce,6284.0,160.0,-160.0,3.813,0.292,-0.097,2.348,0.447,-0.766,288.80377,49.530788,13.123
6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,3.522498429,1.98e-07,-1.98e-07,121.1194228,4.71e-05,-4.71e-05,0.631,0.007,-0.007,3.19843,0.00653,-0.00653,9145.7,6.6,-6.6,14.59,1.11,-1.11,1521.0,,,1264.67,307.23,-276.48,1741.5,1,q1_q17_dr25_tce,6225.0,112.0,-137.0,4.169,0.055,-0.045,1.451,0.11,-0.11,281.28812,42.45108,13.563
